NUM,DATE,SAMPLE,REPLICATE,ANIMAL,BATCH,SUB_1_RP,SUB_2_H,SUB_3_LS,SUB_4_LP,AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,CLIV,BLAST_D8,CELLS_COUNT
111,30/01/2016,350,50,NE116,202_05,10.71,35.71,25,28.57,83.9,59.3,55,0.38,45,55,16,72,0,97.3,85.8,180.7,8.7,33.8,87,50,35,26,29,7,27,38,69.231,20,.
112,08/05/2018,r7,Roc2,NE116,202_05,10.71,35.71,25,28.57,84.3,62.9,64.4,0.11,75,85,32,241,151,86,75.1,165.9,7.1,24.8,84,44,59,44,56,4,7,33,53.731,14.925,117.25
113,12/01/2016,326,48,NE147,023_05,25.6,30.43,26.57,17.39,85.8,61.3,93.4,0.067,40,50,24,99,14,112.1,93.3,195.7,9.2,27.1,79,46,30,21,27,3,30,40,65.152,10.606,.
114,30/01/2016,347,50,NE147,023_05,25.6,30.43,26.57,17.39,80.7,49,54.3,0.032,45,35,42,125,40,119.5,102.4,196.5,8.4,32.4,81,50,43,30,37,5,34,23,50.769,22.059,.
115,08/05/2018,r8,Roc2,NE147,023_05,25.6,30.43,26.57,17.39,92.4,81.2,73.1,0.032,70,80,65,468,378,98.7,86.3,177.6,7.1,35,85,49,71,58,65,6,13,16,64.865,13.514,.
116,15/09/2015,211,36,NE147,028_05,22.58,35.31,35.6,6.51,93.2,79.9,80.6,0.012,50,60,37,186,101,80.4,64,156.4,7.7,32.4,82,51,49,27,35,14,27,24,59.091,7.576,.
117,19/11/2015,279,43,NE147,028_05,22.58,35.31,35.6,6.51,90.7,72.3,40.2,1.34,50,65,31,171,86,108.4,89.9,215.1,9.3,31.3,81,42,31,22,28,3,4,65,56.716,11.94,111
118,.,r15,roc3,NE147,028_05,22.58,35.31,35.6,6.51,95.7,88.9,84.9,0.22,75,60,70,375,285,87.6,76.3,156.1,7.2,33.1,84,47,59,37,42,17,23,18,70.588,16.176,190.5
119,15/05/2018,r61,roc10,NE147,028_05,22.58,35.31,35.6,6.51,86.2,71.6,65,2.66,70,75,75,502,412,111,93.3,176.5,7.6,31.3,81,52,57,42,52,4,20,23,71.429,30,.
120,11/09/2015,204,35,NE147,179_05,21.56,34.46,32.77,11.21,83.5,60.3,69.2,.,20,60,20,105,15,81.9,65.5,154,6.8,35.3,79,44,33,20,26,7,13,54,66.154,15.385,.
121,15/09/2015,212,36,NE147,179_05,21.56,34.46,32.77,11.21,91.8,70.1,69.1,0.024,20,50,22,91,6,61.4,55,91,11.1,34.3,92,74,23,9,10,13,28,49,66.667,12.5,254.2
122,.,r50,Roc8,NE147,179_05,21.56,34.46,32.77,11.21,92.4,85.1,68.6,4.08,60,70,26,164,74,95.8,88,139.9,4.5,42.1,91,64,85,76,81,4,4,11,82.857,28.571,182.571
